2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (TokenScore|token_scores) _configure_property(sentiment_score, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (TokenScore|token_scores) _configure_property(liquidity_composite, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (TokenScore|token_scores) _configure_property(safety_composite, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (TokenScore|token_scores) _configure_property(social_composite, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (TokenScore|token_scores) _configure_property(total_score, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (TokenScore|token_scores) _configure_property(raw_metrics, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (TokenScore|token_scores) _configure_property(created_at, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (TokenScore|token_scores) _configure_property(updated_at, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (TokenScore|token_scores) Identified primary key columns: OrderedSet([Column('id', Integer(), table=<token_scores>, primary_key=True, nullable=False)])
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (TokenScore|token_scores) constructed
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (Token|tokens) _configure_property(metrics, _RelationshipDeclared)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (Token|tokens) _configure_property(mentions, _RelationshipDeclared)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (Token|tokens) _configure_property(alerts, _RelationshipDeclared)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (Token|tokens) _configure_property(id, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (Token|tokens) _configure_property(address, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (Token|tokens) _configure_property(name, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (Token|tokens) _configure_property(symbol, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (Token|tokens) _configure_property(created_at, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (Token|tokens) _configure_property(first_seen_at, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (Token|tokens) _configure_property(last_updated_at, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (Token|tokens) _configure_property(mint_authority, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (Token|tokens) _configure_property(total_supply, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (Token|tokens) _configure_property(decimals, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (Token|tokens) _configure_property(is_mint_disabled, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (Token|tokens) _configure_property(is_blacklisted, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (Token|tokens) _configure_property(meta_data, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (Token|tokens) _configure_property(updated_at, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (Token|tokens) Identified primary key columns: OrderedSet([Column('id', Integer(), table=<tokens>, primary_key=True, nullable=False)])
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (Token|tokens) constructed
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(alerts, _RelationshipDeclared)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(mentions, _RelationshipDeclared)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(output_channels, _RelationshipDeclared)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(id, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(type, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(identifier, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(name, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(is_active, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(weight, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(added_at, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(last_processed_id, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(last_scanned_at, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(error_count, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(meta_data, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(scan_interval, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(priority, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(custom_filters, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(monitored_trends, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(trend_thresholds, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(notification_channels, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(alert_template, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(silence_hours, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(rate_limit, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(sentiment_analysis, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(pattern_learning, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(smart_filtering, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(created_at, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(updated_at, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) Identified primary key columns: OrderedSet([Column('id', Integer(), table=<monitored_sources>, primary_key=True, nullable=False)])
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) constructed
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(id, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(type, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(identifier, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(name, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(added_at, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(is_active, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(is_announcements, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(is_alerts, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(is_stats, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(custom_format, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(emoji_style, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(include_stats, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(include_links, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(messages_per_minute, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(message_count, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(last_message, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(error_count, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(last_error, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(last_sent, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(total_sent, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(total_failed, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(average_latency, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(channel_settings, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(backup_channels, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(forward_to, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(created_at, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(updated_at, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) Identified primary key columns: OrderedSet([Column('id', Integer(), table=<output_channels>, primary_key=True, nullable=False)])
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) constructed
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(id, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(type, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(identifier, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(name, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(added_at, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(is_active, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(is_announcements, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(is_alerts, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(is_stats, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(custom_format, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(emoji_style, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(include_stats, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(include_links, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(messages_per_minute, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(message_count, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(last_message, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(error_count, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(last_error, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(last_sent, Column)
2025-07-11 17:34:54 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(total_sent, Column)
